Amit	Shesh	0.920833333	0.8	0.656410256	0.218181818		70.8548951	C-
Clark 	Freifeld	1	0.888888889	0.9	0.987012987		92.53679654	A-
Aniruddha	Tapas	0.891666667	0.566666667	0.711111111	0.566233766		68.94011544	D+
Aditya	Sathyanarayan	0.783333333	0.8	0.333333333	0		53	F
Ritika	Nair	1	0.911111111	0.955555556	0.92987013		94.85425685	A
Rohan	Chitnis	0.933333333	1	0.977777778	0.745454545		95.23232323	A
Vivek	Raju	0.920833	0.8	0.65641	0.218182		70.8549	C-
Varun	Raju	1	0.888889	0.9	0.987013		92.5368	A-
Sankalp	Vatsh	0.891666667	0.566666667	0.711111111	0.566233766		68.94011544	D+
Girish	Siddhartha	0.783333333	0.8	0.333333333	0		53	F
Vindhya	Mandekar	1	0.911111111	0.955555556	0.92987013		94.85425685	A
Rohan	Halegiri	0.933333333	1	0.977777778	0.745454545		95.23232323	A
Amit	Shesh	0.920833333	0.8	0.656410256	0.218181818		70.8548951	C-
Clark 	Ashwin	1	0.888888889	0.9	0.987012987		92.53679654	A-
Bob	Ryan	0.891666667	0.566666667	0.711111111	0.566233766		68.94011544	D+
Jack	Daniels	0.783333333	0.8	0.333333333	0		53	F
Brave	Soldier	1	0.911111111	0.955555556	0.92987013		94.85425685	A
Guest	pass	0.933333333	1	0.977777778	0.745454545		95.23232323	A
Amit	Swarna	0.920833333	0.8	0.656410256	0.218181818		70.8548951	C-
Johny	Bravo	1	0.888888889	0.9	0.987012987		92.53679654	A-
Swat	Kats	0.891666667	0.566666667	0.711111111	0.566233766		68.94011544	D+
Guest	List	0.783333333	0.8	0.333333333	0		53	F
Ashok	RMS	1	0.911111111	0.955555556	0.92987013		94.85425685	A
Ashwath	Bharadwaj	0.933333333	1	0.977777778	0.745454545		95.23232323	A
Siddart	Rangachari	0.920833	0.8	0.65641	0.218182		70.8549	C-
Prashanth	Sunny	1	0.888889	0.9	0.987013		92.5368	A-
SV	Raju	0.891666667	0.566666667	0.711111111	0.566233766		68.94011544	D+
Anuradhu	Raju	0.783333333	0.8	0.333333333	0		53	F
Vishnupriya	Nair	1	0.911111111	0.955555556	0.92987013		94.85425685	A
Vishnu	MK	0.933333333	1	0.977777778	0.745454545		95.23232323	A
Swathy	Shesh	0.920833333	0.8	0.656410256	0.218181818		70.8548951	C-
Ryan	Reynolds	1	0.888888889	0.9	0.987012987		92.53679654	A-
Neal	Young	0.891666667	0.566666667	0.711111111	0.566233766		68.94011544	D+
Sweson	Benson	0.783333333	0.8	0.333333333	0		53	F
Vishnu	Chandra	1	0.911111111	0.955555556	0.92987013		94.85425685	A
Shiva	Chandra	0.933333333	1	0.977777778	0.745454545		95.23232323	A
